securityid,ticker,figi,mindate,maxdate
404,HBP,BBG000K9PGP7,2003-09-10 00:00:00,2024-05-18 00:00:00
391,BAP,"",2003-09-10 00:00:00,
326,CAL,BBG000CYSFS7,2003-09-10 00:00:00,
385,DSSI,"",2003-09-10 00:00:00,2021-07-18 00:00:00
361,ATVI,"",2003-09-10 00:00:00,2008-07-09 00:00:00
410,BBNK,"",2003-09-10 00:00:00,2015-06-30 00:00:00
442,SCH,BBG000BSLZY7,2003-09-10 00:00:00,2005-12-23 00:00:00
456,ACTT,"",2003-09-10 00:00:00,2020-06-24 00:00:00
455,VRTY,"",2003-09-10 00:00:00,2005-12-29 00:00:00
336,KTK,"",2003-09-10 00:00:00,2006-02-12 00:00:00
332,AULT,BBG00JMZD4P6,2003-09-10 00:00:00,2005-09-18 00:00:00
425,TBH,"",2003-09-10 00:00:00,2011-07-17 00:00:00
334,XOS,BBG00YCZNM73,2003-09-10 00:00:00,
327,CRH,"",2003-09-10 00:00:00,2006-03-13 00:00:00
364,ICOC,"",2003-09-10 00:00:00,2010-05-02 00:00:00
16660,ORG,"",2016-06-09 00:00:00,2020-03-12 00:00:00
432,DCAI,"",2003-09-10 00:00:00,2010-06-03 00:00:00
343,DT,BBG000HMCQQ3,2003-09-10 00:00:00,2010-06-20 00:00:00
355,RADS,"",2003-09-10 00:00:00,2011-08-24 00:00:00
330,VION,"",2003-09-10 00:00:00,2008-08-14 00:00:00
411,CFD,"",2003-09-10 00:00:00,2009-09-07 00:00:00
307,TSP,BBG00ZSDS6T8,2003-09-10 00:00:00,2024-02-06 00:00:00
309,TRO,"",2003-09-10 00:00:00,2006-03-30 00:00:00
375,TCP,"",2003-09-10 00:00:00,2006-03-30 00:00:00
352,UAHC,BBG000HM2ZJ2,2003-09-10 00:00:00,2010-07-11 00:00:00
447,MKH,"",2003-09-10 00:00:00,2011-12-26 00:00:00
434,ACAM,"",2003-09-10 00:00:00,2021-01-21 00:00:00
423,OII,BBG000CPBCL8,2003-09-10 00:00:00,
439,MIG,BBG00YD7RDS7,2003-09-10 00:00:00,
372,NAV,BBG000BPS2V2,2003-09-10 00:00:00,2024-05-18 00:00:00
325,BZH,BBG000BDLQJ7,2003-09-10 00:00:00,
349,BKS,"",2003-09-10 00:00:00,2024-05-18 00:00:00
331,APTI,"",2003-09-10 00:00:00,2006-04-30 00:00:00
344,NOOF,"",2003-09-10 00:00:00,2012-11-29 00:00:00
335,EUM,"",2003-09-10 00:00:00,2006-05-29 00:00:00
387,PSW,"",2003-09-10 00:00:00,2012-12-09 00:00:00
446,UN,BBG00JR3V1L2,2003-09-10 00:00:00,2024-05-18 00:00:00
449,RAH,"",2003-09-10 00:00:00,2013-01-29 00:00:00
317,WRC,"",2003-09-10 00:00:00,2013-02-13 00:00:00
319,BZF,"",2003-09-10 00:00:00,2024-05-18 00:00:00
304,AEPI,"",2003-09-10 00:00:00,2024-05-18 00:00:00
367,KSU,BBG00HPFDYQ4,2003-09-10 00:00:00,2024-05-18 00:00:00
418,FINL,"",2003-09-10 00:00:00,2024-05-18 00:00:00
426,AXE,BBG00JXGL084,2003-09-10 00:00:00,2024-05-18 00:00:00
378,IFUL,"",2003-09-10 00:00:00,2008-09-03 00:00:00
324,NMY,"",2003-09-10 00:00:00,2024-05-18 00:00:00
407,BCM,BBG000FKTHQ1,2003-09-10 00:00:00,2006-07-10 00:00:00
388,ABB,BBG000DK5Q25,2003-09-10 00:00:00,2024-05-18 00:00:00
313,CCDC,"",2003-09-10 00:00:00,2006-08-31 00:00:00
320,GYRO,"",2003-09-10 00:00:00,2009-10-28 00:00:00
350,DRRA,"",2003-09-10 00:00:00,2006-11-07 00:00:00
435,DATC,"",2003-09-10 00:00:00,2003-12-23 00:00:00
431,COSO,"",2003-09-10 00:00:00,2003-12-30 00:00:00
424,PFGI,"",2003-09-10 00:00:00,2004-06-30 00:00:00
376,UNI,"",2003-09-10 00:00:00,2004-07-01 00:00:00
357,BUNZ,"",2003-09-10 00:00:00,2004-08-04 00:00:00
390,RUM,"",2003-09-10 00:00:00,2004-09-30 00:00:00
399,CLRS,"",2003-09-10 00:00:00,2004-10-05 00:00:00
415,RAGS,"",2003-09-10 00:00:00,2004-10-21 00:00:00
450,AWIN,"",2003-09-10 00:00:00,2004-11-16 00:00:00
445,MBD,"",2003-09-10 00:00:00,2004-12-01 00:00:00
345,AUTN,"",2003-09-10 00:00:00,2004-12-16 00:00:00
339,PLNQ,"",2003-09-10 00:00:00,2004-12-29 00:00:00
363,ECSI,"",2003-09-10 00:00:00,2005-01-13 00:00:00
384,BLSI,"",2003-09-10 00:00:00,2005-02-06 00:00:00
457,AVA,BBG000BCNF74,2003-09-10 00:00:00,
526,DGII,BBG000BZ50L0,2003-09-10 00:00:00,
26585,KJUN,BBG01N391PM4,2024-06-03 00:00:00,
647,FNIS,"",2003-09-10 00:00:00,2003-09-30 00:00:00
12780,PDEX,BBG000C30865,2010-07-20 00:00:00,
574,MRN,"",2003-09-10 00:00:00,2008-12-14 00:00:00
557,CVSN,"",2003-09-10 00:00:00,2005-03-15 00:00:00
578,LZB,BBG000BNLC97,2003-09-10 00:00:00,
467,ARE,BBG000BC33T9,2003-09-10 00:00:00,
21976,ASTSW,BBG00QRF6YQ0,2021-04-07 00:00:00,
522,GTN,BBG000DSQLQ0,2003-09-10 00:00:00,
576,ITW,BBG000BMBL90,2003-09-10 00:00:00,
540,NICH,BBG000DJ1WB9,2003-09-10 00:00:00,2009-02-11 00:00:00
